,game.away.abbr,game.away.errors,game.away.hits,game.away.id,game.away.loss,game.away.market,game.away.name,game.away.probable_pitcher.era,game.away.probable_pitcher.first_name,game.away.probable_pitcher.id,game.away.probable_pitcher.jersey_number,game.away.probable_pitcher.last_name,game.away.probable_pitcher.loss,game.away.probable_pitcher.preferred_name,game.away.probable_pitcher.win,game.away.runs,game.away.win,game.away_team,game.broadcast.network,game.coverage,game.day_night,game.double_header,game.game_number,game.home.abbr,game.home.errors,game.home.hits,game.home.id,game.home.loss,game.home.market,game.home.name,game.home.probable_pitcher.era,game.home.probable_pitcher.first_name,game.home.probable_pitcher.id,game.home.probable_pitcher.jersey_number,game.home.probable_pitcher.last_name,game.home.probable_pitcher.loss,game.home.probable_pitcher.preferred_name,game.home.probable_pitcher.win,game.home.runs,game.home.win,game.home_team,game.id,game.scheduled,game.status,game.venue.address,game.venue.capacity,game.venue.city,game.venue.country,game.venue.field_orientation,game.venue.id,game.venue.location.lat,game.venue.location.lng,game.venue.market,game.venue.name,game.venue.stadium_type,game.venue.state,game.venue.surface,game.venue.zip,game.weather.forecast.cloud_cover,game.weather.forecast.condition,game.weather.forecast.dew_point_f,game.weather.forecast.humidity,game.weather.forecast.obs_time,game.weather.forecast.temp_f,game.weather.forecast.wind.direction,game.weather.forecast.wind.speed_mph
0,PHI,0,0,2142e1ba-3b40-445c-b8bb-f1f8b1054220,11,Philadelphia,Phillies,2.547,Vincent,4ec0aafd-a982-4521-b963-b26371dc8327,21,Velasquez,0.0,Vince,0.0,0,12,2142e1ba-3b40-445c-b8bb-f1f8b1054220,ESPN,full,N,False,1,NYM,0,0,f246a5e5-afdb-479c-9aaa-c68beeda7af6,10,New York,Mets,9.581,Jason,2d60f0d5-dacb-40dd-b9a2-adb7716b40e2,44,Vargas,0,Jason,1,0,13,f246a5e5-afdb-479c-9aaa-c68beeda7af6,f7a023f2-7913-425b-9e41-d14ae0055572,2019-04-24T23:10:00+00:00,scheduled,123-01 Roosevelt Avenue,41922,"Flushing, Queens",USA,NE,265c7d6c-427a-4b8a-8def-392c41954bec,40.7564124,-73.84589369999999,New York,Citi Field,outdoor,NY,grass,11368,2,Sunny,37,35,2019-04-24T11:38:15.000Z,65,NW,13
1,MIA,0,0,03556285-bdbb-4576-a06d-42f71f46ddc5,16,Miami,Marlins,5.087,Sandy,d0476731-2ec5-4fbb-9e0a-1ca71fb6df62,22,Alcantara,2.0,Sandy,1.0,0,7,03556285-bdbb-4576-a06d-42f71f46ddc5,FS-OH,full,D,False,1,CLE,0,0,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,10,Cleveland,Indians,3.176,Jefry,5aaf63e6-b1f5-48a8-8327-a9d44762bf25,68,Rodriguez,1,Jefry,0,0,12,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,49505171-d47b-4563-8bd7-97f52f7f2dcc,2019-04-24T17:10:00+00:00,scheduled,2401 Ontario Street,35225,Cleveland,USA,N,2b0ccd49-4d87-4996-ac4d-27ffc7ee4c16,41.4957048,-81.6852732,Cleveland,Progressive Field,outdoor,OH,grass,44115,5,Partly cloudy,34,64,2019-04-24T11:38:12.000Z,47,NW,7
2,MIN,0,0,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,8,Minnesota,Twins,,Kohl,cb653ae3-016a-4df5-b7c3-3bc72ed32ef3,53,Stewart,,Kohl,,0,13,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,SportsNet SW,full,N,False,1,HOU,0,0,eb21dadd-8f10-4095-8bf3-dfb3b779f107,9,Houston,Astros,3.0,Justin,2fe6cb9b-c41e-4ee2-9b22-f8b27bf6c5be,35,Verlander,0,Justin,3,0,14,eb21dadd-8f10-4095-8bf3-dfb3b779f107,eee847bd-190e-47ce-a305-83a4e5c8122d,2019-04-25T00:10:00+00:00,scheduled,501 Crawford Street,41168,Houston,USA,N,f0600f04-1386-4c61-a412-804960c46cb1,29.7577058,-95.35453989999999,Houston,Minute Maid Park,retractable,TX,grass,77002,87,Light rain shower,67,68,2019-04-24T11:38:14.000Z,78,SSE,14
3,TEX,0,0,d99f919b-1534-4516-8e8a-9cd106c6d8cd,10,Texas,Rangers,3.484,Kyle,1865224d-02f1-48c0-826b-b9788937bfdb,43,Dowdy,0.0,Kyle,1.0,0,12,d99f919b-1534-4516-8e8a-9cd106c6d8cd,NBCS-CA,full,D,False,1,OAK,0,0,27a59d3b-ff7c-48ea-b016-4798f560f5e1,13,Oakland,Athletics,5.318,Aaron,17041232-04c9-45ea-8a8c-575e87a3f774,35,Brooks,2,Aaron,2,0,13,27a59d3b-ff7c-48ea-b016-4798f560f5e1,8c4920c3-d63b-4af2-9b42-d4b568b9a864,2019-04-24T19:37:00+00:00,scheduled,7000 Coliseum Way,46765,Oakland,USA,NE,48cbd35a-d932-4a75-beab-067bfbacfc26,37.7503423,-122.2028058,Oakland,Oakland-Alameda County Coliseum,outdoor,CA,grass,94621,3,Partly cloudy,62,53,2019-04-24T11:38:13.000Z,80,NNW,3
4,ATL,0,0,12079497-e414-450a-8bf2-29f91de646bf,11,Atlanta,Braves,1.8,Michael,f7d2d621-f361-4e1b-b61e-b0f184d5ba74,40,Soroka,1.0,Mike,0.0,0,11,12079497-e414-450a-8bf2-29f91de646bf,FS-OH,full,N,False,1,CIN,0,0,c874a065-c115-4e7d-b0f0-235584fb0e6f,13,Cincinnati,Reds,3.6,Tanner,8a105ca8-aecd-4ef7-b6ad-efcecf934d01,35,Roark,0,Tanner,1,0,9,c874a065-c115-4e7d-b0f0-235584fb0e6f,da485e09-b207-406d-8756-06d3979e55a9,2019-04-24T22:40:00+00:00,scheduled,100 Joe Nuxhall Way,42319,Cincinnati,USA,SE,f102d8fb-de67-4b86-9053-8b55f578d45c,39.097736,-84.5084966,Cincinnati,Great American Ball Park,outdoor,OH,grass,45202,49,Partly cloudy,55,63,2019-04-24T11:38:14.000Z,68,SE,2
5,ARI,0,0,25507be1-6a68-4267-bd82-e097d94b359b,11,Arizona,Diamondbacks,4.368,Kenneth,871f04aa-367c-48fb-8ae5-a5bd9e27cb8b,29,Kelly,2.0,Merrill,1.0,0,13,25507be1-6a68-4267-bd82-e097d94b359b,SportsNet PT,full,N,False,1,PIT,0,0,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,9,Pittsburgh,Pirates,0.529,Jordan,9dd06397-4353-44e8-81bb-6e88a75e42b5,31,Lyles,0,Jordan,2,0,12,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,53ebe381-bfc6-4129-8614-29283b0b092c,2019-04-24T23:05:00+00:00,scheduled,115 Federal Street,38362,Pittsburgh,USA,E,61314394-c8b8-411e-b891-ca41285d5362,40.4471507,-80.0064087,Pittsburgh,PNC Park,outdoor,PA,grass,15212,19,Partly cloudy,38,40,2019-04-24T11:38:12.000Z,62,NW,6
6,MIL,0,0,dcfd5266-00ce-442c-bc09-264cd20cf455,12,Milwaukee,Brewers,5.918,Jhoulys,0dbcd440-68fd-4e69-af97-8a7076f21eaf,45,Chacín,2.0,Jhoulys,2.0,0,13,dcfd5266-00ce-442c-bc09-264cd20cf455,MLB Network,full,D,False,1,STL,0,0,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,9,St. Louis,Cardinals,4.737,Adam,c399c961-1b45-430c-858e-f0a33ae0af85,50,Wainwright,2,Adam,1,0,14,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,06e325f8-ce26-4c48-ad7d-dc6885086e47,2019-04-24T17:15:00+00:00,scheduled,700 Clark Street,45538,St. Louis,USA,NE,83cc591a-1096-4383-a6ca-e2bd6f8db629,38.6226441,-90.1928125,St. Louis,Busch Stadium,outdoor,MO,grass,63102,100,Light drizzle,59,89,2019-04-24T11:38:09.000Z,63,SE,6
7,LAD,0,0,ef64da7f-cfaf-4300-87b0-9313386b977c,10,Los Angeles,Dodgers,5.4,Walker,3703319e-ec2e-4db7-9e86-59589e233f95,21,Buehler,0.0,Walker,2.0,0,15,ef64da7f-cfaf-4300-87b0-9313386b977c,WGN,full,N,False,1,CHC,0,0,55714da8-fcaf-4574-8443-59bfb511a524,10,Chicago,Cubs,2.769,Colbert,4e487d9a-1a44-459b-b0bf-69f5d08c28d9,35,Hamels,0,Cole,3,0,11,55714da8-fcaf-4574-8443-59bfb511a524,fa60cb32-93ea-4c03-9bf1-96163b3a909b,2019-04-25T00:05:00+00:00,scheduled,1060 West Addison Street,41649,Chicago,USA,NE,53f8eb0d-a361-4a7a-930b-2f8735ea0698,41.9474473,-87.6560538,Chicago,Wrigley Field,outdoor,IL,grass,60613,65,Overcast,33,38,2019-04-24T11:38:16.000Z,59,SE,6
8,NYY,0,0,a09ec676-f887-43dc-bbb3-cf4bbaee9a18,10,New York,Yankees,0.0,Carsten,34c78a46-c798-4545-a05c-f9b693635e9b,52,Sabathia,0.0,CC,1.0,0,13,a09ec676-f887-43dc-bbb3-cf4bbaee9a18,MLB Network,full,N,False,1,LAA,0,0,4f735188-37c8-473d-ae32-1f7e34ccf892,15,Los Angeles,Angels,4.154,Félix,e731ad98-6a9f-455a-9d61-fdec0368f62c,64,Peña,1,Félix,0,0,9,4f735188-37c8-473d-ae32-1f7e34ccf892,f5f8d209-fa2c-4e3a-a64f-0fed5d4d9841,2019-04-25T02:07:00+00:00,scheduled,2000 Gene Autry Way,45050,Anaheim,USA,NE,60732da9-ad03-4feb-9a36-aee3e98c7a2b,33.7996617,-117.8834384,Los Angeles,Angel Stadium of Anaheim,outdoor,CA,grass,92806,0,Sunny,50,35,2019-04-24T11:38:15.000Z,81,SW,7
9,CWS,0,0,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,13,Chicago,White Sox,10.385,Ervin,f6cac526-d361-4d8b-b74f-f035e0e15fd9,54,Santana,1.0,Ervin,0.0,0,9,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,MASN,full,N,False,1,BAL,0,0,75729d34-bca7-4a0f-b3df-6f26c6ad3719,16,Baltimore,Orioles,1.723,John,d6c41179-8aef-407c-843d-225a397935f0,67,Means,2,John,2,0,9,75729d34-bca7-4a0f-b3df-6f26c6ad3719,f0b00d0c-1461-4b7a-ab70-e55f77cd67a9,2019-04-24T23:05:00+00:00,scheduled,333 West Camden Street,45971,Baltimore,USA,NE,434aa63c-1049-4a54-a6bc-3790c7772ee1,39.2840361,-76.619919,Baltimore,Oriole Park at Camden Yards,outdoor,MD,grass,21201,27,Partly cloudy,40,37,2019-04-24T11:38:15.000Z,68,WNW,11
10,WSH,0,0,d89bed32-3aee-4407-99e3-4103641b999a,11,Washington,Nationals,4.909,Aníbal,a6797bdd-683b-404e-b974-3546f93c6c47,19,Sánchez,2.0,Aníbal,0.0,0,11,d89bed32-3aee-4407-99e3-4103641b999a,SportsNet RM,full,D,False,1,COL,0,0,29dd9a87-5bcc-4774-80c3-7f50d985068b,14,Colorado,Rockies,2.25,German,2764f896-603a-42bb-b031-f50893d42a63,48,Márquez,1,German,2,0,10,29dd9a87-5bcc-4774-80c3-7f50d985068b,1d22b75d-611a-4cc8-821c-668d1f4302f3,2019-04-24T19:10:00+00:00,scheduled,2001 Blake Street,50398,Denver,USA,N,85dd5cd6-7324-4b52-a1cc-68f816d0cdce,39.7559779,-104.9933491,Colorado,Coors Field,outdoor,CO,grass,80205,3,Partly cloudy,25,19,2019-04-24T11:38:11.000Z,71,ENE,4
11,DET,0,0,575c19b7-4052-41c2-9f0a-1c5813d02f99,10,Detroit,Tigers,3.375,Tyson,8ad5b50f-e381-4654-8479-583d62e2ff29,38,Ross,2.0,Tyson,1.0,0,12,575c19b7-4052-41c2-9f0a-1c5813d02f99,ESPN,full,N,False,1,BOS,0,0,93941372-eb4c-4c40-aced-fe3267174393,15,Boston,Red Sox,7.2,Eduardo,93413a68-2c05-405a-a38c-9ee983b36913,57,Rodríguez,2,Eduardo,1,0,9,93941372-eb4c-4c40-aced-fe3267174393,2a4732e2-1e77-4efa-acbf-9673deca4cd2,2019-04-24T23:10:00+00:00,scheduled,4 Yawkey Way,37731,Boston,USA,NE,b27b0dc5-c2c5-401d-b8b9-a6a2dbc225e5,42.34584359999999,-71.09878189999999,Boston,Fenway Park,outdoor,MA,grass,02215,58,Partly cloudy,40,46,2019-04-24T11:38:11.000Z,61,WNW,13
12,SEA,0,0,43a39081-52b4-4f93-ad29-da7f329ea960,10,Seattle,Mariners,4.909,Félix,d6cfb6c9-8f3f-498a-98f9-2c19954c6e8d,34,Hernández,1.0,Félix,1.0,0,16,43a39081-52b4-4f93-ad29-da7f329ea960,FS-SD,full,D,False,1,SD,0,0,d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,11,San Diego,Padres,2.25,Christopher,cb1d6940-da1d-431f-a868-35a76a97a8da,59,Paddack,1,Chris,0,0,13,d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,16b6c3cc-fd6c-4304-bbb1-44834a7f4f89,2019-04-24T19:40:00+00:00,scheduled,100 Park Blvd.,42445,San Diego,USA,N,0ab45d79-5475-4308-9f94-74b0c185ee6f,32.70752890000001,-117.1568083,San Diego,PETCO Park,outdoor,CA,grass,92101,0,Sunny,52,53,2019-04-24T11:38:10.000Z,71,WSW,6
13,KC,0,0,833a51a9-0d84-410f-bd77-da08c3e5e26e,17,Kansas City,Royals,6.256,Jakob,919d18a0-cd70-43c9-81f2-b96bf9e66a17,65,Junis,2.0,Jakob,1.0,0,7,833a51a9-0d84-410f-bd77-da08c3e5e26e,SUN,full,D,False,1,TB,0,0,bdc11650-6f74-49c4-875e-778aeb7632d9,8,Tampa Bay,Rays,2.16,Blake,1a191c8a-25d8-4c89-8f54-5817cc666a64,4,Snell,1,Blake,2,0,16,bdc11650-6f74-49c4-875e-778aeb7632d9,7d2fb41b-d97e-400a-8a59-7c60dc728a99,2019-04-24T17:10:00+00:00,scheduled,One Tropicana Drive,42735,St. Petersburg,USA,NE,3aaaf4af-0f8c-49c1-8bf1-1780bb5a5f5c,27.768188,-82.653408,Tampa Bay,Tropicana Field,indoor,FL,turf,33705,12,Partly cloudy,61,58,2019-04-24T11:38:13.000Z,76,SE,4
14,SF,0,0,a7723160-10b7-4277-a309-d8dd95a8ae65,14,San Francisco,Giants,4.821,Thomas,b2e4ccc4-0f7c-4ad6-a0bf-3186a6b57f8d,37,Pomeranz,2.0,Drew,0.0,0,10,a7723160-10b7-4277-a309-d8dd95a8ae65,SN,full,D,False,1,TOR,0,0,1d678440-b4b1-4954-9b39-70afb3ebbcfa,13,Toronto,Blue Jays,3.375,Clay,17f41dd6-d2e9-41cf-83f3-7e6cd07f3171,36,Buchholz,0,Clay,0,0,11,1d678440-b4b1-4954-9b39-70afb3ebbcfa,e467c405-f79d-4daf-8bbf-b00bb5c6c4bb,2019-04-24T20:07:00+00:00,scheduled,One Blue Jays Way,53506,Toronto,CAN,N,84d72338-2173-4a90-9d25-99adc6c86f4b,43.6417388,-79.3892547,Toronto,Rogers Centre,retractable,ON,turf,M5V1J3,14,Partly cloudy,36,49,2019-04-24T11:38:14.000Z,56,NW,10
